time,hex,callsign,latitude,longitude,no_position,altitude,squawk,ground speed,track,vertical speed
2020-01-26 17:43:59Z.774,0xa9a1ad,N72EX,34.15205,-118.65588,P,1225,1200,132,247,320
2020-01-26 17:44:01Z.684,0xa9a1ad,N72EX,34.15155,-118.65755,P,1250,1200,130,250,320
2020-01-26 17:44:01Z.836,0xa9a1ad,N72EX,34.15174,-118.65692,P,1225,1200,130,249,320
2020-01-26 17:44:02Z.658,0xa9a1ad,N72EX,34.15137,-118.65823,P,1250,1200,129,251,320
2020-01-26 17:44:02Z.764,0xa9a1ad,N72EX,34.15155,-118.65755,P,1250,0,130,249,320
2020-01-26 17:44:03Z.340,0xa9a1ad,N72EX,34.15146,-118.65795,P,1250,1200,130,250,320
2020-01-26 17:44:05Z.650,0xa9a1ad,N72EX,34.151,-118.65958,P,1250,1200,129,252,384
2020-01-26 17:44:06Z.176,0xa9a1ad,N72EX,34.15091,-118.6599,P,1275,1200,129,252,384
2020-01-26 17:44:06Z.680,0xa9a1ad,N72EX,34.15082,-118.6603,P,1250,1200,129,253,384
2020-01-26 17:44:08Z.222,0xa9a1ad,N72EX,34.15049,-118.66173,P,1275,1200,129,254,128
2020-01-26 17:44:08Z.278,0xa9a1ad,N72EX,34.15058,-118.66133,P,1275,1200,128,254,256
2020-01-26 17:44:08Z.580,0xa9a1ad,N72EX,34.15039,-118.6623,P,1275,1200,129,255,-64
2020-01-26 17:44:10Z.604,0xa9a1ad,N72EX,34.15009,-118.66378,P,1275,1200,129,257,-128
2020-01-26 17:44:11Z.682,0xa9a1ad,N72EX,34.15009,-118.66378,P,1275,1200,129,256,-64
2020-01-26 17:44:11Z.716,0xa9a1ad,N72EX,34.14998,-118.66459,P,1275,1200,130,258,-320
2020-01-26 17:44:11Z.760,0xa9a1ad,N72EX,34.14998,-118.66459,P,1275,1200,130,258,-320
2020-01-26 17:44:12Z.314,0xa9a1ad,N72EX,34.14998,-118.66459,P,1275,1200,130,257,-192
2020-01-26 17:44:12Z.542,0xa9a1ad,N72EX,34.1499,-118.6649,P,1250,1200,130,249,320
2020-01-26 17:44:12Z.892,0xa9a1ad,N72EX,34.1499,-118.6649,P,1250,1200,130,258,-512
2020-01-26 17:44:14Z.420,0xa9a1ad,N72EX,34.14967,-118.66653,P,1250,1200,132,260,-640
2020-01-26 17:44:16Z.528,0xa9a1ad,N72EX,34.14956,-118.66797,P,1225,1200,130,249,320
2020-01-26 17:44:17Z.256,0xa9a1ad,N72EX,34.14951,-118.66825,P,1225,1200,133,263,-512
2020-01-26 17:44:17Z.854,0xa9a1ad,N72EX,34.14951,-118.66825,P,1225,1200,133,263,-512
2020-01-26 17:44:18Z.248,0xa9a1ad,N72EX,34.14949,-118.6686,P,1200,1200,134,264,-512
2020-01-26 17:44:20Z.314,0xa9a1ad,N72EX,34.14946,-118.67094,P,1200,1200,135,271,-512
2020-01-26 17:44:20Z.342,0xa9a1ad,N72EX,34.14946,-118.6702,P,1200,1200,135,268,-512
2020-01-26 17:44:21Z.464,0xa9a1ad,N72EX,34.14954,-118.67179,P,1175,1200,135,274,-512
2020-01-26 17:44:22Z.058,0xa9a1ad,N72EX,34.14958,-118.67207,P,1175,1200,133,263,-512
2020-01-26 17:44:22Z.522,0xa9a1ad,N72EX,34.14954,-118.67179,P,1175,1200,135,274,-512
2020-01-26 17:44:24Z.336,0xa9a1ad,N72EX,34.14975,-118.67317,P,1175,1200,135,278,-448
